,Collection_Name,Category_Art,Category_Collectibles,Category_Domain Names,Category_Music,Category_Photography,Category_Sports,Category_Trading Cards,Category_Utility,Category_Virtual Worlds,Items,Owners,Floor_Price,Twitter_Page_Followers,Twitter_Page_Following,Twitter_Page_Is_Verified,Twitter_Page_Creation_Date,Max_Twitter_Retweets,Max_Twitter_Replies,Max_Twitter_Likes,Max_Twitter_Quotes,Collection_Creation_Date,Collection_30_Day_Volume,Collection_Listing_Status,Collection_Traits_count
513,Bay of Bridges,0,0,0,0,1,0,0,0,0,35,11.0,0.15,2491.0,865.0,False,05/24/2021,4,15,31,2,2021-08-30,0.3,not_requested,0.0
514,Bazooka Chicks,0,1,0,0,0,0,0,0,0,3300,197.0,0.015,1774.0,26.0,False,08/30/2021,92,26,118,6,2021-10-01,0.4239000000000001,not_requested,415.0
515,Beacon Book Series,0,1,0,0,0,0,0,0,0,1400,661.0,0.014,2868.0,160.0,False,10/27/2020,26,11,145,7,2021-10-19,0.165,not_requested,2.0
516,Beacons of light,1,0,0,0,0,0,0,0,0,10,2.0,0.05,3741.0,1425.0,False,02/19/2020,32,4,194,1,2021-09-11,0.06,not_requested,0.0
517,BearCat.Studio - Bunny Club,0,1,0,0,0,0,0,0,0,10000,4.0,0.089,612.0,8.0,False,11/03/2021,729,13,696,0,2021-09-19,0.0888,not_requested,206.0
518,BearPunks.,0,1,0,0,0,0,0,0,0,100,33.0,0.005,658.0,814.0,False,08/07/2021,4,5,17,1,2021-08-06,0.008,not_requested,56.0
519,BearSociety,0,1,0,0,0,0,0,0,0,2100,1000.0,0.001,334.0,230.0,False,09/26/2019,17,21,31,4,2021-11-23,1.068312564981421,not_requested,301.0
520,BearXLabs,1,0,0,0,0,0,0,0,0,4500,1600.0,0.183,57879.0,17.0,False,09/29/2021,2139,2141,2194,20,2021-11-04,201.8278597727892,approved,112.0
521,Bearbrains Collabs,1,0,0,0,0,0,0,0,0,10,25.0,0.02,7916.0,5940.0,False,11/09/2009,19,13,84,4,2021-08-03,0.5,not_requested,17.0
522,Beard Bears yOGi Pass,0,0,0,0,0,0,0,1,0,100,98.0,0.039,739.0,235.0,False,09/01/2021,146,55,70,9,2021-12-17,2.0624,not_requested,0.0
523,Beardeliciouz,1,0,0,0,0,0,0,0,0,36,11.0,0.043,861.0,723.0,False,12/06/2021,2,5,8,1,2021-12-08,0.162,not_requested,0.0
524,Bears Deluxe,1,0,0,0,0,0,0,0,0,5900,2400.0,2.15,22656.0,9.0,False,09/21/2021,2156,2313,2426,90,2021-11-28,1094.2638601000017,approved,133.0
525,BearsOnTheBlock,0,1,0,0,0,0,0,0,0,9500,3200.0,0.025,30373.0,397.0,False,06/10/2021,221,219,314,11,2021-07-31,6.206092198108467,verified,177.0
526,Beary Nice,1,0,0,0,0,0,0,0,0,88,36.0,0.005,2165.0,1613.0,False,09/10/2021,19,14,51,2,2021-09-21,0.1686,not_requested,130.0
527,Beast dolls,0,1,0,0,0,0,0,0,0,113,29.0,0.015,4936.0,5277.0,False,08/13/2021,3,1,5,2,2021-09-23,0.017,not_requested,48.0
528,Beat Warrrior World,0,1,0,0,0,0,0,0,0,13,35.0,0.003,2769.0,4632.0,False,12/22/2013,5,5,12,4,2021-07-02,0.0135,not_requested,2.0
529,Beautiful Birds,1,0,0,0,0,0,0,0,0,7,24.0,0.017,1386.0,1886.0,False,01/11/2016,8,4,19,2,2021-06-13,0.06,not_requested,0.0
530,Beautiful Cities of the World,0,0,0,0,1,0,0,0,0,55,87.0,0.6,60163.0,2772.0,False,03/12/2007,7,13,39,6,2021-08-11,0.5,verified,0.0
531,BeautifulMindz,0,0,0,0,0,0,0,1,0,14,2.0,0.1,516.0,1510.0,False,10/05/2014,17,4,25,1,2021-05-10,0.1,not_requested,8.0
532,Beauty in Chaos,0,1,0,0,0,0,0,0,0,32,10.0,0.007,785.0,667.0,False,04/10/2018,74,81,90,3,2021-04-20,0.0782,not_requested,0.0
533,Beauty in Dreamland,1,0,0,0,0,0,0,0,0,83,27.0,0.044,1515.0,1805.0,False,03/14/2009,10,4,46,2,2021-07-05,0.06,not_requested,20.0
534,Beauty portrait,0,0,0,0,1,0,0,0,0,10,2.0,0.01,1001.0,1232.0,False,03/20/2016,2,1,4,0,2021-09-15,0.01,not_requested,0.0
535,Bebarbarie,0,1,0,0,0,0,0,0,0,42,27.0,0.04,325.0,59.0,False,01/21/2012,3,3,6,2,2021-11-22,0.6900000000000002,not_requested,26.0
536,Beck the Duck,1,0,0,0,0,0,0,0,0,22,3.0,0.01,123.0,127.0,False,10/25/2021,4,4,14,3,2021-10-24,0.03,not_requested,6.0
537,Bedhead Fairies,1,0,0,0,0,0,0,0,0,10,2.0,0.005,635.0,501.0,False,09/03/2021,20,7,26,4,2021-10-24,0.005,not_requested,0.0
538,Beeple: All Hail The King,1,0,0,0,0,0,0,0,0,58,691.0,0.01,60644694.0,1.0,True,02/20/2007,31113,8001,273205,6048,2021-02-24,0.255331,approved,0.0
539,Bees Deluxe,1,0,0,0,0,0,0,0,0,6200,1500.0,0.125,22656.0,9.0,False,09/21/2021,2156,2313,2426,90,2021-11-28,67.47171000000004,approved,149.0
540,BeezerBears,0,1,0,0,0,0,1,0,0,20300,533.0,0.02,1849.0,3077.0,False,09/17/2014,14,4,20,3,2021-02-28,2.666,approved,214.0
541,Behaving Badly,1,0,0,0,0,0,0,0,0,12,2.0,0.05,1336.0,717.0,False,09/04/2021,11,7,53,1,2021-10-02,0.05,not_requested,0.0
542,BeingHumanBeing Collection,1,0,0,0,0,0,0,0,0,101,14.0,0.008,208.0,207.0,False,11/06/2021,26,10,38,5,2021-11-24,0.152,not_requested,0.0
543,Bellow,1,0,0,0,0,0,0,0,0,66,21.0,0.07,875.0,217.0,False,09/10/2021,50,10,77,3,2021-09-11,0.55,not_requested,0.0
544,Beluga Bay - Founders Special Edition Collection,0,1,0,0,0,0,0,0,0,78,464.0,0.002,8872.0,4855.0,False,06/28/2021,47,28,156,9,2021-09-07,0.0467606,not_requested,85.0
545,Beluga Bay Season One (Official),0,1,0,0,0,0,0,0,0,3300,268.0,0.006,8872.0,4855.0,False,06/28/2021,47,28,156,9,2021-09-27,0.8482000000000005,not_requested,174.0
546,Ben Baller BlockChains,0,1,0,0,0,0,0,0,0,6000,830.0,0.02,3590.0,32.0,True,11/03/2021,759,726,991,71,2021-11-22,10.064079999999986,approved,53.0
547,Ben Baller Gems,0,1,0,0,0,0,0,0,0,4000,233.0,0.01,3590.0,32.0,True,11/03/2021,759,726,991,71,2021-12-15,19.799579999987007,not_requested,22.0
548,Ben Hopper - Dancers on Rooftops - 100 Unique Dance Photographs,0,0,0,0,1,0,0,0,0,49,26.0,0.3,28434.0,18375.0,False,02/09/2009,4,4,28,2,2021-08-30,0.59,approved,73.0
549,Ben Savage Editions,1,0,0,0,0,0,0,0,0,2,34.0,0.024,6586.0,1423.0,False,12/07/2020,15,8,90,4,2021-08-26,0.02,not_requested,0.0
550,Ben Strauss Editions,1,0,0,0,0,0,0,0,0,1,87.0,0.75,24404.0,972.0,False,04/02/2019,164,93,1523,12,2021-05-09,0.996,approved,0.0
551,Benson's Block Party,0,1,0,0,0,0,0,0,0,101,19.0,0.07,674.0,148.0,False,10/30/2021,4,9,51,3,2021-11-28,0.6300000000000001,not_requested,54.0
552,Bespoke Toy Faces,0,1,0,0,0,0,0,0,0,7,6.0,420.0,21529.0,5799.0,False,01/07/2010,70,271,573,8,2021-04-09,6.0,not_requested,0.0
553,Best Cigar Smokers,0,0,0,0,1,0,0,0,0,10,663.0,0.001,479.0,251.0,False,12/03/2017,1,1,3,1,2021-12-15,0.10268869,not_requested,0.0
554,Bet On Bux,0,0,0,0,0,0,0,1,0,5,2.0,0.006,45.0,177.0,False,07/04/2019,1,2,6,0,2021-11-02,0.0070435099999999,not_requested,0.0
555,Betsy Neis Illustrator,1,0,0,0,0,0,0,0,0,50,4.0,0.01,101.0,707.0,False,03/06/2017,16,1,76,1,2021-12-16,0.03,not_requested,0.0
556,Bettorverse,0,0,0,0,0,0,0,1,0,1200,462.0,0.02,1294.0,15.0,False,08/24/2021,183,114,133,14,2021-09-20,0.3573,not_requested,0.0
557,Between Landscapes,0,0,0,0,1,0,0,0,0,9,9.0,1.0,10542.0,1199.0,False,07/03/2021,7,60,213,0,2021-09-02,0.8,not_requested,20.0
558,Beyond Earth Races,0,1,0,0,0,0,0,0,0,1100,565.0,0.009,4891.0,116.0,False,08/18/2021,41,39,60,6,2021-10-08,0.1081999999999999,not_requested,164.0
559,BeyondNFT [Ethereum],1,1,0,0,0,0,0,0,0,60,192.0,0.035,1832.0,15.0,False,10/26/2020,7,5,27,1,2021-03-12,0.05,approved,29.0
560,Biased Football Canvas,0,0,0,0,0,1,0,0,0,7,2.0,0.008,3.0,3.0,False,12/07/2021,0,1,5,2,2021-12-07,0.008,not_requested,0.0
561,Big Dragons,1,0,0,0,0,0,0,0,0,136,70.0,0.005,470.0,510.0,False,12/04/2019,1,4,10,5,2021-10-07,0.4133900000000002,not_requested,34.0
562,Big Head Soccer Club,0,0,0,0,0,1,0,0,0,213,48.0,0.02,1758.0,4942.0,False,08/24/2021,54,60,58,3,2021-07-28,0.17,not_requested,127.0
563,Big Reds,1,0,0,0,0,0,0,0,0,50,5.0,0.03,143.0,70.0,False,02/27/2012,3,22,12,2,2021-09-23,0.012,not_requested,0.0
564,Big Tiddy Goth GFs,0,1,0,0,0,0,0,0,0,7000,966.0,0.002,284.0,23.0,False,11/02/2021,20,12,32,4,2021-10-31,0.2729350000000002,not_requested,1268.0
565,Big Time Founders Collection,0,0,0,0,0,0,0,0,1,5,2600.0,0.175,179103.0,1811.0,False,02/11/2021,13890,1769,15161,365,2021-08-24,166.80421898989997,verified,0.0
566,BigFatCats OG Collection,0,1,0,0,0,0,0,0,0,51,26.0,0.55,243.0,137.0,False,08/26/2021,31,24,40,10,2021-08-03,0.4650000000000002,not_requested,256.0
567,BigOldBears,1,0,0,0,0,0,0,0,0,42,16.0,0.01,1241.0,34.0,False,11/12/2021,19,26,27,3,2021-11-13,0.0999,not_requested,55.0
568,Bikes of Burden - Hans Kemp's cult collection of 130 motorized street beasts.,0,0,0,0,1,0,0,0,0,130,54.0,1.5,2296.0,816.0,False,10/25/2020,10,6,40,3,2021-04-21,9.79,verified,18.0
569,BillionDollarDapp,1,0,0,0,0,0,0,0,0,30,14.0,100.0,149.0,307.0,False,03/30/2021,4,2,5,1,2021-04-22,0.25,not_requested,146.0
570,Billionaire Bones Club Official,1,0,0,0,0,0,0,0,0,5000,42.0,0.02,53.0,23.0,False,12/01/2021,10,12,12,3,2021-12-03,0.4600000000000001,not_requested,0.0
571,Billionaire Coyote Cartel,0,1,0,0,0,0,0,0,0,2200,260.0,0.63,9915.0,6.0,False,10/25/2021,893,366,1101,32,2021-11-08,344.33077912626425,approved,117.0
572,Billionaire Dogs Club BDC,0,1,0,0,0,0,0,0,0,2000,1200.0,0.003,3088.0,1.0,False,11/12/2021,27,30,69,3,2021-12-11,9.959821887899995,approved,121.0
573,Billionaire Penguin Punks,0,1,0,0,0,0,0,0,0,160,22.0,0.005,34.0,20.0,False,11/14/2021,2,1,7,3,2021-11-13,0.1435000000000001,not_requested,65.0
574,BillionaireCryptoCrocs,0,1,0,0,0,0,0,0,0,124,3.0,0.018,33.0,189.0,False,11/08/2021,9,2,7,1,2021-11-05,0.0175,not_requested,70.0
575,BillionaireZombiesClub,0,1,0,0,0,0,0,0,0,10000,3400.0,0.068,11687.0,487.0,False,08/11/2021,266,251,342,41,2021-10-05,83.53382748377781,approved,129.0
576,BillionaireZombiesClub MetaCrystals Official,0,1,0,0,0,0,0,0,0,9700,1200.0,0.03,11687.0,487.0,False,08/11/2021,266,251,342,41,2021-11-26,4.2011999999999965,approved,0.0
577,BillionaireZombiesClub Skeleton Keys,0,1,0,0,0,0,0,0,0,618,504.0,0.445,74927.0,21016.0,True,01/21/2008,86,54,131,4,2021-11-19,21.175110000000004,approved,0.0
578,Bills Bills Bills,1,0,0,0,0,0,0,0,0,29,23.0,25.0,8210.0,352.0,False,09/02/2010,147,206,2425,36,2021-08-31,2.5,not_requested,0.0
579,Billy-K1D,0,1,0,0,0,0,0,0,0,82,33.0,0.015,10182.0,3402.0,False,11/10/2020,34,9,26,11,2021-09-11,0.07,not_requested,83.0
580,Bilocation VOL. 1,0,0,0,0,1,0,0,0,0,10,8.0,0.3,38500.0,4633.0,False,02/21/2011,216,30,1551,13,2021-08-11,0.2,not_requested,0.0
581,Bingo! - on Forma,1,0,0,0,0,0,0,0,0,447,177.0,0.019,377.0,122.0,False,08/28/2021,50,5,47,5,2021-09-29,0.015501,not_requested,13.0
582,Biomes A tribute to Conway's Game of Life,0,1,0,0,0,0,0,0,0,169,79.0,0.235,1069.0,1303.0,False,03/17/2021,45,46,67,9,2021-08-10,0.09,not_requested,95.0
583,Bird Brains Collection,0,1,0,0,0,0,0,0,0,29,17.0,0.025,1137.0,3249.0,False,11/30/2010,3,3,12,1,2021-09-03,0.145,not_requested,0.0
584,Bird Guys,0,1,0,0,0,0,0,0,0,1600,465.0,0.009,2572.0,1111.0,False,04/06/2021,5,18,33,2,2021-04-18,1.0750287500000004,not_requested,228.0
585,Birds of Life,1,0,0,0,0,0,0,0,0,4,2.0,0.005,1.0,3.0,False,11/14/2021,0,0,1,0,2021-11-15,0.005,not_requested,0.0
586,Bisco Punks Season 1,0,0,0,0,0,0,0,1,0,18,11.0,0.1,29523.0,565.0,True,12/08/2008,26,45,226,34,2021-10-20,0.32,not_requested,50.0
587,Bit Liquor,0,1,0,0,0,0,0,0,0,81,25.0,0.02,1057.0,650.0,False,04/18/2021,2,11,20,1,2021-04-18,0.06,not_requested,212.0
588,Bit Soulmate,1,0,0,0,0,0,0,0,0,3000,83.0,0.011,615.0,130.0,False,10/09/2021,166,145,192,84,2021-11-27,0.1848593999999999,not_requested,158.0
589,Bit Wine,0,1,0,0,0,0,0,0,0,1000,323.0,0.04,1169.0,242.0,False,03/16/2021,83,86,114,8,2021-04-07,2.7859,verified,774.0
590,BitAliens,0,1,0,0,0,0,0,0,0,1900,755.0,0.01,21097.0,2790.0,False,03/09/2021,0,2,3,0,2021-03-08,1.1169000000000002,approved,334.0
591,BitBear_B.B,1,0,0,0,0,0,0,0,0,57,24.0,0.008,36.0,47.0,False,10/08/2021,3,4,14,3,2021-10-24,0.0146132,not_requested,0.0
592,BitBlots,1,0,0,0,0,0,0,0,0,711,224.0,0.033,3413.0,929.0,False,03/05/2021,1298,377,1629,16,2021-03-09,0.175,approved,116.0
593,BitColors,1,0,0,0,0,0,0,0,0,1000,464.0,0.06,4637.0,1.0,False,09/25/2021,15,16,52,5,2021-10-21,6.168828,approved,0.0
594,BitDrivers,0,0,0,0,0,0,0,1,0,22200,421.0,0.001,115.0,20.0,False,09/29/2021,24,7,27,3,2021-12-08,0.3843456137366745,not_requested,216.0
595,BitFoxes,1,1,0,0,0,0,0,0,0,8900,482.0,0.019,283.0,106.0,False,08/07/2021,61,75,71,2,2021-03-08,6.143100000000019,approved,151.0
596,BitFrenchie,0,1,0,0,0,0,0,0,0,2200,931.0,0.04,13944.0,694.0,False,11/14/2021,3971,2505,1532,131,2021-12-13,12.623499999899988,not_requested,177.0
597,BitHamsters,0,1,0,0,0,0,0,0,0,86,8.0,0.02,17.0,35.0,False,04/08/2021,0,0,2,0,2021-03-29,0.015,not_requested,0.0
598,BitKidZ,0,0,0,0,0,0,1,0,0,190,49.0,0.001,51.0,104.0,False,10/27/2021,3,2,10,2,2021-10-30,0.0131998,not_requested,130.0
599,BitRings,1,0,0,0,0,0,0,0,0,94,14.0,0.003,187.0,160.0,False,11/13/2021,29,31,30,3,2021-11-12,0.002,not_requested,42.0
600,BitStampsNFT,0,1,0,0,0,0,0,0,0,20,2.0,0.01,265.0,1556.0,False,09/21/2021,4,10,13,1,2021-10-27,0.01,not_requested,0.0
601,Bitbones,1,1,0,0,0,0,0,0,0,1000,510.0,0.19,6695.0,873.0,False,03/10/2021,136,135,179,12,2021-03-01,7.169500000000004,verified,338.0
602,Bitchcoin,1,0,0,0,0,0,0,0,0,3300,254.0,1.35,2528.0,845.0,False,11/16/2012,27,9,103,9,2021-05-22,20.110000000000003,verified,0.0
603,Bitcoin mooning,1,0,0,0,0,0,0,0,0,11,2.0,0.005,20.0,178.0,False,11/26/2016,1,6,5,0,2021-03-06,0.0185433324185543,requested,0.0
604,BitcoinBillionaires,0,1,0,0,0,0,0,0,0,13300,5000.0,0.05,16381.0,297.0,False,09/20/2021,358,330,712,39,2021-06-22,102.63292365995038,approved,203.0
605,BitcoinTarot - World's 1st Crypto Tarot Cards,0,0,0,0,0,0,1,0,0,107,53.0,0.05,1065.0,1407.0,False,07/01/2019,3,3,10,0,2019-06-30,0.051,approved,68.0
606,Bitcolour NFTs,1,0,0,0,0,0,0,0,0,100,5.0,0.01,4.0,6.0,False,10/19/2021,0,1,2,0,2021-10-19,0.01,not_requested,0.0
607,Bitz,0,1,0,0,0,0,0,0,0,1000,601.0,0.5,20394.0,69.0,False,03/06/2021,112,328,324,13,2021-07-12,60.1590999999999,approved,75.0
608,Black & White Days,0,0,0,0,1,0,0,0,0,50,44.0,0.9,26816.0,820.0,False,09/15/2010,44,68,90,3,2021-09-26,0.5,not_requested,56.0
609,Black Hole Sun 0-&,0,0,0,0,0,0,0,0,1,6,5.0,0.001,8.0,7.0,False,04/04/2021,0,0,0,0,2021-04-04,0.0015,not_requested,16.0
610,Black Iris,1,0,0,0,0,0,0,0,0,6,5.0,0.1,4698.0,2391.0,False,07/30/2019,38,8,268,3,2021-11-18,0.38,not_requested,0.0
611,Black NFT Art - Rise Token,0,0,0,0,0,0,0,1,0,1,151.0,0.25,13268.0,1539.0,False,03/01/2021,171,157,218,16,2021-11-08,1.7500000000000009,not_requested,1.0
612,Black Wallstreet Bulls,0,0,0,0,0,0,0,1,0,50,4.0,0.03,3.0,10.0,False,12/01/2021,0,0,1,0,2021-12-01,0.03,not_requested,1.0
613,Black and Aurum,1,0,0,0,0,0,0,0,0,5,3.0,0.3,1710.0,1440.0,False,03/03/2019,83,33,214,14,2021-11-03,0.5700000000000001,not_requested,8.0
614,Blacky Circle,1,0,0,0,0,0,0,0,0,12,2.0,0.004,38.0,72.0,False,11/10/2021,5,3,6,2,2021-11-16,0.007,not_requested,37.0
615,BladeRunner Punks,0,1,0,0,0,0,0,0,0,10000,4100.0,0.058,5513.0,949.0,False,12/06/2021,725,698,855,24,2021-12-11,1412.6503327684652,approved,113.0
616,BlankFace,0,1,0,0,0,0,0,0,0,10000,5200.0,0.002,14752.0,50.0,False,08/25/2021,673,729,809,65,2021-09-12,0.9995100000100005,verified,161.0
617,Bleacher Brews,0,0,0,0,0,1,0,0,0,7,9.0,0.375,301.0,135.0,False,02/08/2017,22,28,35,3,2021-11-17,0.0005,not_requested,0.0
618,Blesko Cat,1,0,0,0,0,0,0,0,0,3300,10.0,0.002,8.0,51.0,False,09/30/2021,0,2,1,0,2021-10-13,0.004,not_requested,61.0
619,Blinking Girls,0,1,0,0,0,0,0,0,0,51,13.0,0.008,480.0,912.0,False,11/06/2021,22,8,32,5,2021-11-05,0.05,not_requested,60.0
620,Blitmap,0,1,0,0,0,0,0,0,0,1700,595.0,5.0,22248.0,18.0,False,03/18/2021,77,48,641,45,2021-05-15,115.48340000000002,verified,296.0
621,Blob Mob,0,1,0,0,0,0,0,0,0,939,506.0,0.02,2596.0,370.0,False,05/01/2021,57,26,180,11,2021-05-01,0.632,verified,57.0
622,Blobs By Peter The Roman,1,0,0,0,0,0,0,0,0,100,60.0,0.3,1112.0,938.0,False,02/21/2021,6,10,33,1,2021-10-19,3.8683,approved,0.0
623,Blochi | Lost in Reality,1,0,0,0,0,0,0,0,0,45,15.0,0.025,118.0,1120.0,False,12/31/2020,1,2,3,1,2021-09-01,0.0125,not_requested,0.0
624,Block Worlds,0,1,0,0,0,0,0,0,0,72,2.0,0.2,12.0,2.0,False,04/23/2010,0,0,1,0,2021-05-04,0.3,not_requested,0.0
625,BlockArt,1,0,0,0,0,0,0,0,0,10700,2800.0,0.02,8657.0,512.0,False,12/14/2020,16,16,146,4,2021-01-06,6.313756857521706,verified,0.0
626,BlockBirds,0,1,0,0,0,0,0,0,0,849,258.0,0.05,3419.0,3266.0,False,04/10/2021,57,49,84,4,2021-04-25,3.6456588949956616,not_requested,117.0
627,BlockBots by Indorse,0,1,0,0,0,0,0,0,0,3000,1500.0,0.009,13129.0,56.0,False,08/09/2021,488,490,571,32,2021-10-28,3.2866199999999983,approved,195.0
628,BlockMark Gems,0,1,0,0,0,0,0,0,0,594,114.0,0.049,154.0,199.0,False,11/30/2018,29,26,28,3,2019-04-26,74.28503000000005,approved,34.0
629,Blockasset Legends,0,1,0,0,0,0,0,0,0,10,3.0,0.2,66890.0,266.0,False,05/13/2021,286,198,342,24,2021-09-25,0.45,not_requested,0.0
630,Blockchain Adventures Of Bella The Blue Bot,0,1,0,0,0,0,0,0,0,3100,1600.0,0.025,27478.0,3870.0,False,05/22/2013,11,13,31,3,2021-11-13,2.0552,not_requested,198.0
631,Blockchain Babies Metaverse,0,0,0,0,0,0,0,1,0,121,77.0,0.41,1887.0,390.0,False,09/07/2021,81,322,132,8,2021-10-05,28.667999999999992,approved,85.0
632,Blockchain Badlands,0,1,0,0,0,0,0,0,0,3400,661.0,0.007,14124.0,1387.0,False,08/20/2021,38,41,55,5,2021-10-08,0.207,not_requested,235.0
633,Blockchain Buds,1,1,0,0,0,0,0,0,0,110,158.0,0.012,4815.0,205.0,False,03/10/2021,11,14,43,4,2021-03-10,0.09,requested,490.0
634,Blockchain Fox,0,1,0,0,0,0,0,0,0,80,14.0,0.001,364.0,967.0,False,08/28/2021,7,33,25,3,2021-08-28,0.012,not_requested,0.0
635,Blockchain Miners Club Official,1,0,0,0,0,0,0,0,0,11100,3400.0,0.65,18694.0,674.0,False,10/11/2021,2566,2540,2764,58,2021-11-22,806.2051401540004,approved,304.0
636,BlockchainBikers,0,1,0,0,0,0,0,0,0,11100,4600.0,0.006,13792.0,862.0,False,07/24/2021,203,211,785,37,2021-08-21,0.9128587967120542,verified,155.0
637,Blockheads Family,0,1,0,0,0,0,0,0,0,3900,987.0,0.01,1372.0,147.0,False,09/27/2021,11,14,73,3,2021-10-20,0.24564,not_requested,384.0
638,Blockmine Advent Calendar 2021,0,1,0,0,0,0,0,0,0,24,47.0,0.012,9988.0,101.0,False,04/24/2021,49,27,146,6,2021-11-30,0.1255,not_requested,2.0
639,Blockship,0,1,0,0,0,0,0,0,0,514,328.0,0.023,4866.0,19.0,False,09/10/2021,128,15,744,6,2021-09-11,0.174,not_requested,22.0
640,Blocky Doge: Guilds,0,1,0,0,0,0,0,0,0,1000,528.0,0.23,724.0,31.0,False,10/22/2021,140,335,372,2,2021-10-09,55.77039999999995,verified,271.0
641,Blokpax Razz,0,0,0,0,0,0,1,0,0,37,1600.0,0.001,3965.0,130.0,False,04/16/2021,18,5,36,4,2021-09-30,9.14511102530999,not_requested,7.0
642,Bloktopia Official,0,1,0,0,0,0,0,0,0,136,25.0,0.05,328905.0,121.0,False,05/17/2021,3226,1078,10956,534,2021-11-29,2.295,not_requested,0.0
643,Bloom with grace,1,0,0,0,0,0,0,0,0,2,2.0,0.3,9037.0,2078.0,False,05/26/2016,6,12,73,2,2021-12-11,0.63,approved,0.0
644,Blooming Flower/AlineSubi,1,0,0,0,0,0,0,0,0,5,4.0,0.035,1391.0,940.0,False,11/25/2018,8,9,22,3,2021-09-20,0.07,not_requested,1.0
645,Bluboy's BluWorld,1,0,0,0,0,0,0,0,0,1300,702.0,0.05,12295.0,73.0,False,10/07/2021,94,89,125,6,2021-11-09,3.7976,approved,135.0
646,Blue Hour - Town with a Cold Case,0,0,0,0,1,0,0,0,0,9,9.0,1.0,1953.0,1523.0,False,07/24/2019,7,49,290,1,2021-10-08,0.15,not_requested,0.0
647,BlueBird Gangster,0,1,0,0,0,0,0,0,0,41,10.0,0.009,1157.0,923.0,False,10/03/2021,2,1,5,0,2021-11-16,0.0559999999999999,not_requested,62.0
648,BluePanda,0,1,0,0,0,0,0,0,0,35,12.0,0.003,23.0,52.0,False,12/03/2021,1,1,4,3,2021-12-03,0.042,not_requested,26.0
649,BlueWorld Metaverse,0,1,0,0,0,0,0,0,0,3500,831.0,0.109,2503.0,117.0,False,10/27/2021,111,108,133,10,2021-11-13,26.58397000000004,approved,0.0
650,Bluerabbitillust Tarot Card Collections.,1,1,0,0,0,0,0,0,0,16,17.0,0.12,2591.0,1569.0,False,06/20/2009,10,6,28,0,2021-03-31,0.17,not_requested,35.0
651,Bluescale Punks,0,1,0,0,0,0,0,0,0,3000,55.0,0.01,738.0,3.0,False,08/23/2021,1,2,5,0,2021-08-22,0.0279999999999999,not_requested,522.0
652,Bluesters,1,0,0,0,0,0,0,0,0,140,65.0,0.025,98.0,23.0,False,01/02/2022,51,51,62,7,2021-11-14,2.312399999999998,not_requested,0.0
653,Blunt's Buds,0,1,0,0,0,0,0,0,0,170,282.0,0.004,5020.0,5342.0,False,02/21/2021,18,21,35,3,2021-06-13,0.050099,not_requested,887.0
654,Bluntz With Friendz NFT,0,0,0,0,0,0,0,1,0,397,2000.0,0.001,1015.0,340.0,False,12/28/2019,30,29,29,5,2021-10-02,0.1432097300000001,not_requested,63.0
655,Board Animal,0,1,0,0,0,0,0,0,0,77,49.0,0.05,3459.0,832.0,False,09/23/2021,8,21,87,3,2021-09-26,0.498,not_requested,133.0
656,Boats Boats Boats,0,0,0,0,1,0,0,0,0,30,9.0,0.05,2476.0,1006.0,False,08/20/2021,3,9,37,1,2021-09-08,0.35,not_requested,58.0
657,BobMarleyArt,0,0,0,0,0,0,1,0,0,13,2.0,0.03,353.0,1011.0,False,04/05/2021,4,2,7,1,2021-05-08,0.03,not_requested,0.0
658,Bobblers,0,0,0,0,0,1,0,0,0,78,15.0,1.0,915.0,2243.0,False,10/24/2021,5,7,17,4,2021-10-08,0.025,not_requested,22.0
659,Bold and Brash Collection,0,1,0,0,0,0,0,0,0,85,49.0,0.008,933.0,1426.0,False,08/31/2021,4,8,12,2,2021-08-31,0.16037,approved,70.0
660,Bonedroids,1,0,0,0,0,0,0,0,0,43,14.0,0.005,134.0,366.0,False,12/07/2021,3,8,10,6,2021-12-07,0.1015,not_requested,0.0
661,Bones & Bananas,0,1,0,0,0,0,0,0,0,10000,6900.0,0.002,4224.0,552.0,False,07/07/2021,15,6,31,3,2021-07-15,0.6138000000000001,approved,80.0
662,Bones Club Heritage,1,1,0,0,0,0,0,0,0,1000,588.0,0.07,6880.0,1052.0,False,05/18/2021,195,195,241,13,2021-05-18,2.216500000000001,verified,131.0
663,Bonjour Richesse | Margaux Klein,1,0,0,0,0,0,0,0,0,114,60.0,1.09,56.0,183.0,False,12/22/2021,1,22,8,1,2021-11-11,21.045,approved,7.0
664,Bonkers Dragon,1,0,0,0,0,0,0,0,0,17,2.0,0.015,5782.0,1207.0,False,06/10/2021,126,102,118,5,2021-11-20,0.017,not_requested,19.0
665,Bonzai by VizualGardens,0,1,0,0,0,0,0,0,0,211,152.0,0.079,4270.0,9.0,False,11/14/2021,47,67,106,4,2021-12-17,0.37,not_requested,0.0
666,Boodles Club,0,1,0,0,0,0,0,0,0,1900,627.0,0.01,3183.0,37.0,False,10/26/2021,430,150,471,9,2021-11-29,2.649628999999992,not_requested,369.0
667,Book II - Continuum (Pt. 1),0,0,0,0,1,0,0,0,0,10,4.0,0.15,2441.0,1572.0,False,11/15/2013,41,47,216,11,2021-09-28,0.4499999999999999,not_requested,0.0
